whole,shuck,vis,shell,diameter,length
0.844,0.3645,0.185,0.2705,0.425,0.58
0.8755,0.411,0.2065,0.225,0.455,0.585
0.8725,0.389,0.1715,0.272,0.45,0.61
1.0265,0.4935,0.201,0.2745,0.46,0.615
1.1605,0.6005,0.2195,0.307,0.465,0.62
1.0125,0.5325,0.4365,0.324,0.48,0.62
1.0005,0.452,0.252,0.265,0.475,0.63
1.2265,0.49,0.377,0.2875,0.495,0.64
1.4045,0.6255,0.3375,0.3745,0.505,0.66
1.463,0.6525,0.2995,0.422,0.525,0.66
1.711,0.8365,0.352,0.475,0.525,0.675
1.757,0.8265,0.417,0.461,0.54,0.705
0.8435,0.4325,0.18,0.1815,0.43,0.525
0.8035,0.38,0.1805,0.21,0.42,0.54
0.8115,0.3875,0.1875,0.2035,0.415,0.54
0.782,0.3695,0.1745,0.1965,0.425,0.57
0.95,0.484,0.182,0.2325,0.445,0.58
0.976,0.465,0.2055,0.2765,0.455,0.59
1.1045,0.535,0.25,0.287,0.48,0.62
1.254,0.591,0.259,0.3485,0.485,0.625
1.286,0.526,0.295,0.4105,0.51,0.635
1.1665,0.4935,0.3155,0.299,0.49,0.645
1.144,0.5015,0.289,0.319,0.49,0.645
1.385,0.8875,0.3095,0.405,0.525,0.65
1.309,0.524,0.346,0.385,0.515,0.655
1.527,0.8485,0.2635,0.331,0.515,0.655
1.719,0.8465,0.407,0.3875,0.565,0.72
1.52,0.637,0.325,0.435,0.55,0.72
1.613,0.723,0.3255,0.4945,0.565,0.72
0.4085,0.165,0.102,0.131,0.35,0.465
0.8725,0.417,0.199,0.24,0.445,0.535
0.745,0.347,0.174,0.2265,0.435,0.55
0.8765,0.455,0.18,0.228,0.425,0.575
0.9705,0.4615,0.232,0.248,0.45,0.58
0.92,0.393,0.212,0.2895,0.45,0.58
0.7855,0.363,0.1955,0.195,0.44,0.58
1.056,0.4575,0.2435,0.3135,0.48,0.6
0.9625,0.4375,0.2225,0.2775,0.45,0.6
1.0915,0.4365,0.2715,0.335,0.495,0.605
1.2735,0.469,0.3315,0.398,0.47,0.61
1.194,0.559,0.259,0.3165,0.475,0.615
1.1215,0.545,0.2305,0.29,0.515,0.615
1.198,0.5415,0.2865,0.3185,0.495,0.615
0.9545,0.455,0.1865,0.277,0.475,0.62
1.217,0.5725,0.207,0.355,0.5,0.625
0.92,0.437,0.1735,0.28,0.49,0.625
1.2615,0.5505,0.277,0.3885,0.48,0.63
1.167,0.548,0.2485,0.34,0.485,0.63
1.3765,0.634,0.2885,0.406,0.485,0.635
1.29,0.593,0.3045,0.352,0.5,0.635
1.151,0.5935,0.2315,0.293,0.485,0.645
1.197,0.526,0.2925,0.317,0.52,0.645
1.6645,0.753,0.367,0.43,0.565,0.65
1.528,0.6215,0.3725,0.4535,0.5,0.655
1.494,0.7255,0.309,0.405,0.515,0.655
1.277,0.4975,0.319,0.394,0.525,0.66
1.5965,0.7765,0.397,0.3605,0.525,0.66
1.3805,0.675,0.2985,0.325,0.51,0.665
1.527,0.5755,0.353,0.44,0.525,0.67
1.3435,0.657,0.297,0.355,0.505,0.68
0.693,0.391,0.1195,0.1515,0.38,0.505
1.183,0.508,0.292,0.343,0.37,0.51
0.7905,0.4065,0.198,0.177,0.41,0.525
1.224,0.618,0.275,0.2875,0.4,0.535
1.007,0.4775,0.2105,0.2925,0.44,0.59
1.5245,0.653,0.396,0.41,0.43,0.595
1.148,0.5475,0.22,0.3315,0.5,0.62
1.136,0.5265,0.1915,0.2925,0.49,0.625
1.2235,0.532,0.271,0.354,0.51,0.635
1.3695,0.634,0.318,0.363,0.525,0.635
1.2905,0.6205,0.2965,0.326,0.505,0.655
1.4265,0.6605,0.3395,0.37,0.515,0.67
2.2635,0.821,0.423,0.726,0.615,0.75
0.871,0.385,0.211,0.2315,0.47,0.57
0.8785,0.425,0.1685,0.2425,0.435,0.58
0.921,0.4005,0.2025,0.2875,0.46,0.595
0.869,0.3425,0.195,0.291,0.45,0.6
1.089,0.469,0.198,0.384,0.495,0.61
1.1635,0.4875,0.259,0.355,0.515,0.625
1.251,0.577,0.227,0.3825,0.505,0.635
1.145,0.4775,0.3035,0.3155,0.49,0.635
1.1335,0.5525,0.2505,0.3015,0.485,0.64
1.2015,0.559,0.231,0.3355,0.5,0.64
1.204,0.5455,0.2615,0.3225,0.49,0.655
1.2895,0.587,0.3165,0.3415,0.455,0.655
1.5175,0.7765,0.302,0.401,0.53,0.66
1.494,0.615,0.3935,0.406,0.52,0.68
1.664,0.58,0.3855,0.545,0.56,0.68
1.5855,0.667,0.334,0.471,0.535,0.695
1.666,0.647,0.4285,0.455,0.555,0.7
1.908,0.5415,0.3565,0.5965,0.55,0.73
2.073,1.0135,0.4655,0.48,0.575,0.755
0.728,0.302,0.1575,0.235,0.43,0.52
0.5685,0.249,0.1375,0.161,0.395,0.53
0.655,0.2635,0.122,0.221,0.43,0.55
0.4705,0.1635,0.089,0.1385,0.36,0.47
0.714,0.318,0.138,0.208,0.4,0.525
0.6995,0.3115,0.131,0.223,0.4,0.525
0.952,0.4895,0.1945,0.2185,0.425,0.55
0.8285,0.362,0.1655,0.236,0.45,0.575
1.1945,0.5105,0.271,0.352,0.485,0.62
1.1655,0.536,0.2115,0.1625,0.495,0.63
1.2155,0.4625,0.2045,0.3105,0.49,0.63
1.5105,0.7385,0.3525,0.3725,0.53,0.685
0.5565,0.2215,0.1155,0.185,0.39,0.485
1.3235,0.6075,0.3055,0.355,0.48,0.625
1.2785,0.5345,0.2995,0.345,0.5,0.645
1.8745,0.6755,0.4065,0.6855,0.53,0.71
1.978,0.6675,0.3125,0.71,0.54,0.7
1.367,0.5835,0.3515,0.396,0.505,0.655
1.742,0.595,0.3025,0.725,0.5,0.665
0.513,0.232,0.142,0.13,0.375,0.47
0.397,0.1575,0.089,0.12,0.35,0.43
0.204,0.097,0.021,0.05,0.255,0.34
0.17,0.076,0.0365,0.05,0.22,0.335
0.765,0.33,0.2125,0.245,0.44,0.55
1.151,0.4365,0.281,0.3805,0.475,0.64
0.6765,0.29,0.158,0.22,0.41,0.545
1.571,0.627,0.271,0.475,0.54,0.64
0.872,0.3245,0.239,0.285,0.465,0.57
0.606,0.239,0.1235,0.18,0.405,0.505
0.539,0.229,0.1355,0.165,0.38,0.49
0.657,0.291,0.133,0.195,0.41,0.505
0.2685,0.1165,0.056,0.0835,0.295,0.37
1.707,0.6995,0.387,0.575,0.545,0.67
0.8805,0.3645,0.234,0.235,0.415,0.59
0.4965,0.237,0.127,0.13,0.36,0.47
0.632,0.282,0.145,0.17,0.385,0.51
0.72,0.3105,0.1915,0.2,0.405,0.525
1.017,0.426,0.2255,0.32,0.47,0.61
0.98,0.2585,0.207,0.38,0.405,0.545
0.578,0.2395,0.1255,0.18,0.38,0.49
0.6835,0.271,0.145,0.215,0.405,0.505
0.2725,0.1115,0.057,0.08,0.3,0.385
1.511,0.5095,0.284,0.51,0.485,0.62
1.3035,0.501,0.295,0.41,0.505,0.635
1.3955,0.456,0.3205,0.49,0.53,0.665
1.1345,0.4535,0.27,0.335,0.48,0.6
1.0835,0.3745,0.326,0.325,0.46,0.585
0.868,0.33,0.243,0.21,0.42,0.555
1.0915,0.452,0.275,0.315,0.495,0.57
1.271,0.531,0.3075,0.37,0.485,0.62
1.2355,0.4435,0.3105,0.365,0.505,0.64
0.4135,0.1645,0.106,0.119,0.32,0.42
0.56,0.231,0.137,0.145,0.35,0.45
1.2765,0.4835,0.328,0.4,0.505,0.64
1.2955,0.5215,0.3225,0.365,0.48,0.61
1.2315,0.4525,0.238,0.42,0.485,0.59
1.5715,0.6935,0.318,0.47,0.54,0.69
1.092,0.396,0.2825,0.37,0.51,0.655
1.8165,0.7785,0.4395,0.515,0.555,0.69
1.6365,0.694,0.3005,0.44,0.55,0.695
1.213,0.464,0.306,0.365,0.495,0.61
0.459,0.197,0.1145,0.145,0.35,0.435
0.4195,0.194,0.1005,0.13,0.35,0.435
0.8745,0.375,0.193,0.29,0.48,0.575
0.8775,0.3345,0.2145,0.29,0.435,0.56
1.3105,0.58,0.288,0.37,0.52,0.645
1.2515,0.5035,0.2925,0.33,0.485,0.595
1.1705,0.5405,0.3175,0.285,0.5,0.655
0.6625,0.3005,0.1635,0.185,0.385,0.495
0.4335,0.2105,0.1205,0.12,0.335,0.4
1.107,0.402,0.2415,0.31,0.465,0.595
0.8595,0.3195,0.1775,0.24,0.475,0.625
0.501,0.192,0.1175,0.175,0.375,0.475
0.6735,0.265,0.124,0.25,0.405,0.5
0.5555,0.213,0.1075,0.215,0.39,0.465
1.428,0.493,0.318,0.565,0.53,0.655
1.0385,0.414,0.26,0.305,0.475,0.58
0.9715,0.371,0.235,0.28,0.475,0.59
1.522,0.6965,0.3025,0.405,0.57,0.665
1.1255,0.4985,0.227,0.315,0.51,0.62
1.0185,0.4695,0.225,0.27,0.475,0.605
0.6175,0.262,0.122,0.193,0.395,0.51
0.597,0.2615,0.135,0.178,0.375,0.495
1.22,0.4905,0.3,0.345,0.5,0.63
1.0735,0.437,0.205,0.33,0.485,0.605
1.146,0.477,0.23,0.39,0.5,0.62
1.1055,0.4445,0.227,0.39,0.5,0.615
1.67,0.6525,0.4875,0.49,0.525,0.66
1.555,0.6465,0.3705,0.52,0.575,0.71
0.9285,0.302,0.1805,0.265,0.45,0.565
0.8085,0.3235,0.183,0.22,0.435,0.57
0.438,0.1805,0.1165,0.11,0.325,0.45
1.166,0.483,0.238,0.355,0.485,0.62
0.507,0.1915,0.1365,0.155,0.38,0.48
0.6345,0.243,0.1335,0.215,0.41,0.505
1.4685,0.4715,0.3235,0.52,0.555,0.705
0.7765,0.302,0.1565,0.25,0.425,0.535
0.5885,0.2475,0.1505,0.1595,0.37,0.48
0.3375,0.1435,0.0755,0.098,0.3,0.395
0.6855,0.2905,0.145,0.225,0.435,0.545
0.314,0.146,0.0555,0.08,0.305,0.385
0.7005,0.312,0.165,0.2,0.34,0.51
0.382,0.1465,0.079,0.14,0.325,0.425
0.4435,0.185,0.09,0.145,0.35,0.45
1.71,0.5415,0.309,0.58,0.525,0.685
0.8575,0.3465,0.1785,0.275,0.475,0.585
0.59,0.215,0.125,0.1845,0.39,0.49
0.385,0.166,0.046,0.1345,0.365,0.455
0.59,0.232,0.141,0.23,0.38,0.48
0.584,0.224,0.1355,0.185,0.38,0.51
0.829,0.3535,0.1685,0.205,0.405,0.52
0.4385,0.206,0.098,0.125,0.36,0.455
1.073,0.4005,0.2345,0.335,0.44,0.58
0.588,0.237,0.1715,0.155,0.375,0.475
0.5325,0.2085,0.1805,0.125,0.33,0.46
0.1485,0.0585,0.0335,0.045,0.225,0.305
0.487,0.194,0.1455,0.125,0.35,0.475
1.2225,0.357,0.202,0.385,0.45,0.605
0.559,0.1955,0.1215,0.1945,0.375,0.475
0.44,0.19,0.1025,0.13,0.35,0.46
0.5265,0.249,0.1005,0.148,0.37,0.49
1.0315,0.432,0.2025,0.337,0.465,0.56
1.2495,0.4945,0.27,0.371,0.48,0.58
1.148,0.444,0.214,0.37,0.475,0.595
1.172,0.536,0.254,0.316,0.475,0.63
1.5055,0.6565,0.341,0.43,0.545,0.65
0.4705,0.1955,0.118,0.126,0.355,0.465
0.569,0.256,0.1325,0.145,0.4,0.49
0.5725,0.2555,0.1325,0.146,0.39,0.505
0.7115,0.3205,0.159,0.1915,0.44,0.525
0.8815,0.43,0.1975,0.2155,0.44,0.555
0.931,0.4445,0.171,0.225,0.42,0.555
1.065,0.4985,0.2145,0.2815,0.46,0.575
1.234,0.598,0.238,0.315,0.48,0.61
1.2635,0.53,0.315,0.3455,0.495,0.61
1.0745,0.4925,0.236,0.29,0.47,0.61
1.1115,0.4495,0.2825,0.345,0.495,0.625
1.255,0.525,0.2415,0.405,0.47,0.625
1.1435,0.4915,0.2345,0.353,0.48,0.64
1.6885,0.7295,0.407,0.4265,0.52,0.665
2.0725,0.8655,0.4095,0.565,0.585,0.715
1.523,0.8045,0.3595,0.4375,0.58,0.725
1.1155,0.509,0.239,0.3065,0.475,0.505
0.627,0.2905,0.1165,0.183,0.42,0.53
0.812,0.4055,0.163,0.2215,0.43,0.555
0.9835,0.4845,0.242,0.22,0.45,0.585
1.0155,0.491,0.1905,0.289,0.47,0.595
1.1345,0.4695,0.257,0.348,0.49,0.615
1.233,0.592,0.274,0.322,0.51,0.62
1.1635,0.554,0.239,0.32,0.5,0.64
1.1545,0.4865,0.341,0.288,0.475,0.64
1.3345,0.667,0.2665,0.355,0.52,0.645
1.5585,0.7285,0.402,0.385,0.54,0.655
1.3275,0.556,0.2805,0.4085,0.5,0.66
1.492,0.6425,0.3905,0.42,0.525,0.69
1.7365,0.7755,0.3965,0.461,0.575,0.7
1.6605,0.8605,0.3275,0.398,0.56,0.7
1.7185,0.7925,0.401,0.468,0.545,0.72
0.594,0.28,0.11,0.1375,0.37,0.495
1.2365,0.5305,0.2455,0.308,0.45,0.565
0.8875,0.4315,0.1915,0.223,0.42,0.57
0.895,0.3605,0.221,0.271,0.475,0.575
0.9355,0.4035,0.2275,0.259,0.465,0.585
1.058,0.486,0.25,0.294,0.46,0.585
0.7955,0.3425,0.1795,0.2425,0.465,0.595
1.0805,0.4995,0.2245,0.3205,0.47,0.6
1.059,0.441,0.19,0.39,0.475,0.6
1.088,0.4905,0.2475,0.31,0.475,0.6
0.776,0.3545,0.1585,0.239,0.485,0.6
1.043,0.4835,0.221,0.31,0.48,0.62
1.3335,0.605,0.2875,0.319,0.475,0.625
1.273,0.564,0.302,0.374,0.5,0.625
1.6275,0.689,0.3905,0.432,0.52,0.65
1.3875,0.58,0.3485,0.3095,0.475,0.65
1.2835,0.583,0.1255,0.4,0.53,0.655
1.3765,0.6485,0.288,0.335,0.5,0.66
0.5805,0.2865,0.118,0.148,0.375,0.51
0.913,0.4585,0.196,0.2065,0.405,0.555
1.0425,0.4635,0.24,0.27,0.465,0.59
1.3475,0.7045,0.25,0.3045,0.49,0.61
1.12,0.4955,0.2645,0.32,0.5,0.64
1.2645,0.565,0.3375,0.315,0.5,0.64
1.275,0.583,0.303,0.333,0.455,0.655
1.4355,0.643,0.345,0.37,0.5,0.665
1.42,0.573,0.368,0.3905,0.525,0.67
2.037,0.87,0.5145,0.5675,0.565,0.735
0.8735,0.4205,0.182,0.2225,0.425,0.525
0.654,0.2945,0.1315,0.205,0.41,0.545
1.034,0.437,0.2225,0.32,0.42,0.585
0.9855,0.4325,0.2145,0.2845,0.465,0.585
0.964,0.5005,0.1715,0.2575,0.44,0.595
1.0455,0.4565,0.24,0.3085,0.46,0.595
1.081,0.49,0.2525,0.279,0.45,0.595
1.122,0.5095,0.256,0.309,0.5,0.6
1.1345,0.4305,0.2525,0.35,0.49,0.605
1.0835,0.4525,0.273,0.317,0.495,0.61
1.3025,0.61,0.2675,0.3605,0.485,0.625
1.306,0.516,0.3305,0.375,0.505,0.63
1.281,0.5985,0.246,0.3825,0.52,0.65
1.35,0.575,0.3155,0.3885,0.51,0.65
1.431,0.622,0.309,0.398,0.53,0.66
1.764,0.8505,0.3615,0.47,0.54,0.665
1.278,0.5605,0.3045,0.358,0.51,0.67
1.46,0.6435,0.328,0.4165,0.54,0.67
1.5575,0.7035,0.402,0.4,0.535,0.675
1.4985,0.62,0.375,0.425,0.53,0.675
1.564,0.612,0.394,0.44,0.53,0.705
1.792,0.873,0.367,0.435,0.56,0.725
0.6475,0.323,0.1325,0.164,0.32,0.38
0.9145,0.4145,0.199,0.273,0.365,0.485
1.1655,0.502,0.301,0.311,0.415,0.55
1.764,0.914,0.377,0.4095,0.42,0.575
1.2635,0.512,0.322,0.355,0.505,0.635
1.238,0.647,0.2485,0.3005,0.525,0.65
1.4045,0.694,0.318,0.3235,0.5,0.65
1.37,0.6065,0.2955,0.407,0.525,0.67
1.8185,0.819,0.4025,0.4525,0.525,0.695
1.7525,0.7105,0.4215,0.516,0.555,0.705
0.846,0.346,0.1715,0.2735,0.44,0.555
0.898,0.3895,0.2325,0.245,0.43,0.56
0.927,0.333,0.207,0.2985,0.46,0.575
0.9845,0.442,0.2155,0.2875,0.42,0.585
1.107,0.4895,0.24,0.343,0.5,0.62
1.072,0.433,0.2975,0.315,0.475,0.63
1.129,0.5015,0.24,0.342,0.51,0.645
1.2075,0.5105,0.262,0.39,0.505,0.65
1.227,0.528,0.258,0.37,0.495,0.65
1.472,0.6275,0.27,0.45,0.52,0.655
1.5785,0.678,0.229,0.456,0.525,0.665
1.593,0.686,0.318,0.45,0.54,0.675
1.361,0.5465,0.2815,0.465,0.535,0.695
1.4575,0.607,0.318,0.44,0.56,0.705
0.5885,0.318,0.121,0.1325,0.365,0.45
0.5375,0.221,0.117,0.17,0.375,0.52
1.137,0.4605,0.2825,0.344,0.49,0.61
1.1685,0.4815,0.2305,0.356,0.48,0.605
1.059,0.4735,0.263,0.274,0.455,0.615
1.541,0.5985,0.395,0.4575,0.52,0.68
1.47,0.5375,0.38,0.431,0.555,0.71
0.754,0.256,0.1775,0.275,0.42,0.545
0.4485,0.165,0.083,0.17,0.365,0.46
0.4425,0.175,0.0755,0.175,0.35,0.425
0.8255,0.375,0.204,0.245,0.41,0.53
0.9525,0.3915,0.195,0.32,0.475,0.615
1.604,0.6175,0.4255,0.453,0.535,0.675
0.3005,0.1255,0.0575,0.1035,0.295,0.375
0.9685,0.446,0.261,0.255,0.465,0.57
0.731,0.236,0.183,0.255,0.4,0.485
0.9765,0.322,0.244,0.37,0.45,0.565
1.018,0.447,0.207,0.265,0.44,0.57
1.082,0.3575,0.194,0.19,0.465,0.55
1.423,0.4155,0.3385,0.49,0.475,0.63
1.4155,0.508,0.314,0.445,0.5,0.655
0.717,0.289,0.1745,0.195,0.43,0.525
0.6355,0.2505,0.1635,0.195,0.39,0.5
0.3975,0.1505,0.0945,0.135,0.34,0.44
0.656,0.2455,0.171,0.205,0.385,0.49
0.447,0.203,0.082,0.13,0.36,0.45
0.578,0.191,0.1445,0.17,0.4,0.515
0.708,0.274,0.151,0.25,0.41,0.525
1.626,0.587,0.4055,0.41,0.5,0.645
1.1775,0.5655,0.2385,0.295,0.49,0.61
1.058,0.439,0.2645,0.3,0.455,0.565
1.5415,0.5985,0.2565,0.495,0.545,0.67
0.4915,0.2205,0.088,0.17,0.375,0.46
0.9705,0.4315,0.263,0.255,0.44,0.56
0.9315,0.431,0.222,0.235,0.45,0.575
0.97,0.342,0.196,0.355,0.46,0.56
0.8085,0.273,0.112,0.295,0.4,0.5
1.053,0.4405,0.192,0.39,0.5,0.595
1.1765,0.488,0.244,0.345,0.5,0.615
0.8765,0.3455,0.1925,0.275,0.46,0.565
0.813,0.3315,0.166,0.1775,0.43,0.525
0.458,0.1985,0.111,0.12,0.375,0.455
0.712,0.2845,0.153,0.225,0.41,0.52
1.3065,0.479,0.3565,0.345,0.49,0.645
0.7105,0.27,0.1455,0.225,0.4,0.5
0.487,0.1955,0.127,0.155,0.35,0.47
1.498,0.564,0.323,0.425,0.515,0.65
1.597,0.6275,0.35,0.47,0.535,0.67
0.541,0.171,0.1175,0.185,0.37,0.49
0.541,0.186,0.1025,0.21,0.4,0.475
0.205,0.0745,0.0465,0.07,0.275,0.35
1.0905,0.391,0.2295,0.355,0.44,0.54
0.6295,0.2555,0.144,0.18,0.4,0.525
0.772,0.2855,0.1975,0.23,0.4,0.53
0.7155,0.2355,0.171,0.27,0.415,0.525
0.717,0.2115,0.166,0.255,0.425,0.53
0.6355,0.1815,0.157,0.225,0.39,0.465
0.686,0.281,0.1255,0.22,0.395,0.515
1.016,0.4935,0.1855,0.263,0.44,0.555
1.438,0.5185,0.3735,0.3345,0.5,0.61
1.807,0.8225,0.3655,0.515,0.55,0.68
2.1505,1.0745,0.382,0.585,0.575,0.72
0.7745,0.416,0.163,0.18,0.41,0.525
0.874,0.3545,0.2075,0.225,0.45,0.585
1.37,0.6135,0.283,0.34,0.525,0.645
1.759,0.6865,0.313,0.547,0.545,0.655
1.8065,0.758,0.3735,0.5055,0.52,0.67
0.7545,0.3525,0.1835,0.2015,0.43,0.555
1.0035,0.503,0.2105,0.2515,0.46,0.585
1.011,0.479,0.2385,0.255,0.465,0.62
1.382,0.646,0.3115,0.37,0.525,0.64
1.473,0.713,0.282,0.4295,0.55,0.68
1.658,0.708,0.3615,0.4715,0.58,0.69
0.9585,0.447,0.169,0.275,0.45,0.575
0.9575,0.4815,0.1945,0.236,0.46,0.575
0.926,0.4025,0.208,0.275,0.46,0.58
0.873,0.3615,0.249,0.239,0.425,0.58
1.234,0.6335,0.192,0.35,0.495,0.625
1.2255,0.5075,0.296,0.36,0.485,0.625
1.2565,0.539,0.292,0.35,0.5,0.635
1.159,0.4675,0.3355,0.31,0.5,0.645
1.826,0.797,0.409,0.499,0.535,0.69
1.7715,0.8195,0.331,0.437,0.56,0.695
1.336,0.553,0.3205,0.35,0.515,0.63
1.36,0.653,0.347,0.305,0.49,0.64
1.1,0.506,0.2485,0.31,0.48,0.575
1.7015,0.7465,0.4105,0.3855,0.49,0.625
1.073,0.467,0.1975,0.35,0.485,0.635
1.477,0.684,0.3005,0.39,0.5,0.635
1.3105,0.577,0.3315,0.355,0.495,0.65
1.494,0.7365,0.3055,0.37,0.52,0.675
1.1965,0.475,0.304,0.386,0.51,0.675
1.907,0.8725,0.4565,0.475,0.545,0.71
1.79,0.844,0.3535,0.5385,0.565,0.715
1.7495,0.7755,0.4225,0.48,0.59,0.72
1.6645,0.7755,0.35,0.4525,0.42,0.56
0.9645,0.531,0.189,0.209,0.45,0.57
1.1,0.547,0.2665,0.2585,0.465,0.605
1.3185,0.6185,0.302,0.3315,0.505,0.64
0.914,0.3895,0.2225,0.271,0.455,0.595
1.13,0.4405,0.267,0.335,0.5,0.6
1.0805,0.52,0.19,0.32,0.495,0.615
1.2355,0.5205,0.3085,0.347,0.495,0.635
1.2395,0.468,0.2385,0.424,0.535,0.645
1.357,0.5725,0.281,0.43,0.505,0.65
1.359,0.642,0.3255,0.405,0.5,0.655
0.8025,0.35,0.1615,0.259,0.44,0.56
1.053,0.458,0.217,0.3,0.475,0.585
0.9945,0.4255,0.263,0.2845,0.455,0.585
0.615,0.2865,0.123,0.1765,0.4,0.515
0.887,0.37,0.239,0.249,0.45,0.565
1.0945,0.531,0.261,0.296,0.485,0.625
